feature,auc,direction,pct_null
BUR_DAYS_CREDIT_MEAN,0.603,↑ más default,0.0
BUR_DAYS_CREDIT_UPDATE_MEAN,0.5893,↑ más default,0.0
BUR_ACTIVE_RATIO,0.584,↑ más default,0.0
BUR_DAYS_CREDIT_MAX,0.5803,↑ más default,0.0
BUR_DAYS_CREDIT_MIN,0.5783,↑ más default,0.0
BUR_DAYS_CREDIT_ENDDATE_MEAN,0.5723,↑ más default,0.85
BUR_DAYS_CREDIT_ENDDATE_MIN,0.5664,↑ más default,0.85
BUR_ACTIVE_COUNT,0.5604,↑ más default,0.0
BUR_AMT_CREDIT_SUM_DEBT_MEAN,0.5572,↑ más default,2.79
BUR_AMT_CREDIT_SUM_DEBT_SUM,0.5514,↑ más default,0.0
BUR_ACTIVE_DEBT_SUM,0.5512,↑ más default,0.0
BUR_CLOSED_COUNT,0.5474,↓ menos default,0.0
BUR_DAYS_CREDIT_ENDDATE_MAX,0.5465,↑ más default,0.85
BUR_AMT_CREDIT_MAX_OVERDUE_MAX,0.5345,↑ más default,30.21
BUR_AMT_CREDIT_SUM_MEAN,0.5205,↓ menos default,0.0
BUR_AMT_CREDIT_SUM_SUM,0.5192,↓ menos default,0.0
BUR_AMT_CREDIT_SUM_MAX,0.515,↓ menos default,0.0
BUR_AMT_CREDIT_SUM_OVERDUE_SUM,0.5075,↑ más default,0.0
BUR_AMT_CREDIT_SUM_OVERDUE_MAX,0.5075,↑ más default,0.0
BUR_CREDIT_DAY_OVERDUE_MAX,0.5074,↑ más default,0.0
BUR_ACTIVE_OVERDUE_MAX,0.5074,↑ más default,0.0
BUR_CREDIT_DAY_OVERDUE_MEAN,0.5074,↑ más default,0.0
BUR_N_CREDITS,0.5049,↓ menos default,0.0
BUR_CNT_CREDIT_PROLONG_SUM,0.5022,↑ más default,0.0
