feature,mi
FLOORSMIN_AVG,0.046756303384347664
OWN_CAR_AGE,0.02891423180657693
YEARS_BUILD_AVG,0.027848547944398838
LIVINGAPARTMENTS_AVG,0.02593094262157969
FLOORSMAX_AVG,0.022919437939941112
EXT_SOURCE_1,0.02059709239088514
BASEMENTAREA_AVG,0.02044010941172103
APARTMENTS_AVG,0.018071749658465475
ENTRANCES_AVG,0.01743719602238425
YEARS_BEGINEXPLUATATION_AVG,0.016841687662194627
EXT_SOURCE_3,0.015851949930086873
LANDAREA_AVG,0.015119678054403618
AMT_ANNUITY,0.01194984325853854
EXT_SOURCE_2,0.011843466030255767
LIVINGAREA_AVG,0.010622889153715898
COMMONAREA_AVG,0.010419099763747441
AMT_REQ_CREDIT_BUREAU_YEAR,0.00878842844585992
AMT_CREDIT,0.007473951094302045
AMT_GOODS_PRICE,0.00635245781890581
EMPLOYMENT_YEARS,0.005830636629157615
DAYS_EMPLOYED,0.005345448168704969
HOUR_APPR_PROCESS_START,0.004896712381051049
REGION_POPULATION_RELATIVE,0.004029291679287672
NONLIVINGAREA_AVG,0.0035424757226782955
AGE_YEARS,0.0035010925057448183
DAYS_BIRTH,0.0033125282130472833
OCCUPATION_TYPE,0.003098616463872812
AMT_INCOME_TOTAL,0.0027863325057475574
ORGANIZATION_TYPE,0.0026682154416013547
YEARS_SINCE_PHONE_CHANGE,0.002404086810581463
OBS_60_CNT_SOCIAL_CIRCLE,0.002275885897447427
NAME_INCOME_TYPE,0.002113693863690225
DAYS_LAST_PHONE_CHANGE,0.0019780475465351888
DAYS_REGISTRATION,0.001889020880981862
REGION_RATING_CLIENT_W_CITY,0.0018688197813850824
DAYS_ID_PUBLISH,0.0018106626619438515
NAME_EDUCATION_TYPE,0.0017962362780766586
OBS_30_CNT_SOCIAL_CIRCLE,0.0017868596915933121
REGION_RATING_CLIENT,0.0017577810357935555
AMT_REQ_CREDIT_BUREAU_MON,0.0015049173637835533
CODE_GENDER,0.0014516986869830238
YEARS_SINCE_ID_PUBLISH,0.0012670336723781261
REG_CITY_NOT_WORK_CITY,0.0012263604171934422
DAYS_EMPLOYED_ANOM,0.0011589475072181568
FLAG_EMP_PHONE,0.0011586660116152878
YEARS_SINCE_REGISTRATION,0.0010587662607484116
FLAG_DOCUMENT_3,0.001031943767774851
WALLSMATERIAL_MODE,0.0009992192834969763
EMERGENCYSTATE_MODE,0.0008908463148577092
REG_CITY_NOT_LIVE_CITY,0.0008727725302587128
HOUSETYPE_MODE,0.000831601646044196
NAME_FAMILY_STATUS,0.000808632243825968
DOCUMENTS_PROVIDED_COUNT,0.0007948087764858994
ELEVATORS_AVG,0.0007624083392518965
NAME_HOUSING_TYPE,0.0006126472483531748
NAME_CONTRACT_TYPE,0.0005275435874388737
DEF_30_CNT_SOCIAL_CIRCLE,0.000510926251196141
LIVE_CITY_NOT_WORK_CITY,0.0005025177543186987
FONDKAPREMONT_MODE,0.000474042325425526
DEF_60_CNT_SOCIAL_CIRCLE,0.0004734103535630244
FLAG_DOCUMENT_6,0.0004507586661213793
FLAG_WORK_PHONE,0.00039059686056729104
FLAG_PHONE,0.0002907005272525798
CNT_CHILDREN,0.0002592363144794353
FLAG_OWN_CAR,0.00024265013576847683
CNT_FAM_MEMBERS,0.00023911628819049376
AMT_REQ_CREDIT_BUREAU_QRT,0.00023530666637381744
FLAG_DOCUMENT_13,8.810910109568505e-05
FLAG_DOCUMENT_16,7.74676812572532e-05
NAME_TYPE_SUITE,7.588647698374617e-05
FLAG_DOCUMENT_14,5.6558650674817476e-05
NONLIVINGAPARTMENTS_AVG,3.659490191387782e-05
FLAG_DOCUMENT_18,3.496310952711464e-05
FLAG_DOCUMENT_8,3.318054380500868e-05
FLAG_DOCUMENT_15,2.7678141569807745e-05
WEEKDAY_APPR_PROCESS_START,2.507771938874484e-05
REG_REGION_NOT_WORK_REGION,2.3426568804517378e-05
FLAG_OWN_REALTY,1.8803233526737406e-05
AMT_REQ_CREDIT_BUREAU_DAY,1.5652676052925933e-05
REG_REGION_NOT_LIVE_REGION,1.4888956927264219e-05
FLAG_DOCUMENT_9,1.0238582836030827e-05
FLAG_DOCUMENT_11,9.64283759952297e-06
AMT_REQ_CREDIT_BUREAU_WEEK,6.810967322390853e-06
LIVE_REGION_NOT_WORK_REGION,3.922459832154945e-06
AMT_REQ_CREDIT_BUREAU_HOUR,3.532293338852516e-06
FLAG_EMAIL,1.5567795229078085e-06
FLAG_CONT_MOBILE,6.910622754835276e-08
FLAG_DOCUMENT_5,4.998664443998935e-08
