feature,mi,auc,direction,mi_rank,auc_rank,score
EXT_SOURCE_1,0.02059709239088514,0.6657,↓ menos default,6,2.0,4.0
OWN_CAR_AGE,0.02891423180657693,0.5589,↑ más default,2,8.0,5.0
EXT_SOURCE_3,0.015851949930086873,0.6794,↓ menos default,11,1.0,6.0
EXT_SOURCE_2,0.011843466030255767,0.6561,↓ menos default,14,3.0,8.5
FLOORSMAX_AVG,0.022919437939941112,0.5504,↓ menos default,5,13.0,9.0
FLOORSMIN_AVG,0.046756303384347664,0.5356,↓ menos default,1,23.0,12.0
EMPLOYMENT_YEARS,0.005830636629157615,0.5824,↓ menos default,20,6.0,13.0
APARTMENTS_AVG,0.018071749658465475,0.5397,↓ menos default,8,19.0,13.5
DAYS_EMPLOYED,0.005345448168704969,0.5824,↑ más default,21,6.0,13.5
LIVINGAPARTMENTS_AVG,0.02593094262157969,0.5355,↓ menos default,4,24.0,14.0
AGE_YEARS,0.0035010925057448183,0.583,↓ menos default,25,4.0,14.5
DAYS_BIRTH,0.0033125282130472833,0.583,↑ más default,26,4.0,15.0
LIVINGAREA_AVG,0.010622889153715898,0.5471,↓ menos default,15,16.0,15.5
YEARS_BUILD_AVG,0.027848547944398838,0.5265,↓ menos default,3,31.0,17.0
BASEMENTAREA_AVG,0.02044010941172103,0.5265,↓ menos default,7,31.0,19.0
ENTRANCES_AVG,0.01743719602238425,0.5272,↓ menos default,9,30.0,19.5
YEARS_SINCE_PHONE_CHANGE,0.002404086810581463,0.5569,↓ menos default,30,9.0,19.5
YEARS_BEGINEXPLUATATION_AVG,0.016841687662194627,0.531,↓ menos default,10,29.0,19.5
DAYS_LAST_PHONE_CHANGE,0.0019780475465351888,0.5569,↑ más default,33,9.0,21.0
AMT_GOODS_PRICE,0.00635245781890581,0.5333,↓ menos default,19,25.0,22.0
DAYS_ID_PUBLISH,0.0018106626619438515,0.5557,↑ más default,36,11.0,23.5
REGION_RATING_CLIENT_W_CITY,0.0018688197813850824,0.5492,↑ más default,35,14.0,24.5
REGION_POPULATION_RELATIVE,0.004029291679287672,0.5324,↓ menos default,23,26.0,24.5
DAYS_REGISTRATION,0.001889020880981862,0.5426,↑ más default,34,17.0,25.5
COMMONAREA_AVG,0.010419099763747441,0.5215,↓ menos default,16,36.0,26.0
YEARS_SINCE_ID_PUBLISH,0.0012670336723781261,0.5557,↓ menos default,42,11.0,26.5
REGION_RATING_CLIENT,0.0017577810357935555,0.5481,↑ más default,39,15.0,27.0
HOUR_APPR_PROCESS_START,0.004896712381051049,0.5242,↓ menos default,22,33.0,27.5
AMT_REQ_CREDIT_BUREAU_YEAR,0.00878842844585992,0.5206,↑ más default,17,38.0,27.5
LANDAREA_AVG,0.015119678054403618,0.5155,↓ menos default,12,45.0,28.5
